"time","h","v","der(h)","der(v)","v_new","foo","flying","impact"
1.494,0.06470920029075304,-1.855038406203868,-1.855038406203868,-9.81,2.170428989938069,2,1,0
1.5,0.05340238985352361,-1.913898406203868,-1.913898406203868,-9.81,2.170428989938069,2,1,0
1.506,0.04174241941629436,-1.972758406203868,-1.972758406203868,-9.81,2.170428989938069,2,1,0
1.512,0.02972928897906539,-2.031618406203868,-2.031618406203868,-9.81,2.170428989938069,2,1,0
1.518,0.01736299854183663,-2.090478406203868,-2.090478406203868,-9.81,2.170428989938069,2,1,0
1.524,0.004643548104608122,-2.149338406203868,-2.149338406203868,-9.81,2.170428989938069,2,1,0
1.526149906593975,-1.000441708642885e-10,-2.17042898989076,-2.17042898989076,-9.81,2.170428989938069,2,1,0
1.526149906593975,-1.000441708642885e-10,1.519300292923532,1.519300292923532,-9.81,1.519300292923532,1,1,1
1.526149906725657,1.000204434301924e-10,1.51930029163173,1.51930029163173,-9.81,1.519300292923532,1,1,1
1.526149906725657,1.000204434301924e-10,1.51930029163173,1.51930029163173,-9.81,1.519300292923532,2,1,0
1.53,0.005776740044852452,1.481530876610425,1.481530876610425,-9.81,1.519300292923532,2,1,0
1.536,0.01448934530387398,1.422670876610425,1.422670876610425,-9.81,1.519300292923532,2,1,0
1.542,0.02284879056319262,1.363810876610424,1.363810876610424,-9.81,1.519300292923532,2,1,0
1.548,0.03085507582263874,1.304950876610424,1.304950876610424,-9.81,1.519300292923532,2,1,0
1.554,0.03850820108209493,1.246090876610424,1.246090876610424,-9.81,1.519300292923532,2,1,0
1.56,0.04580816634159378,1.187230876610424,1.187230876610424,-9.81,1.519300292923532,2,1,0
1.566,0.05275497160114098,1.128370876610424,1.128370876610424,-9.81,1.519300292923532,2,1,0
1.572,0.05934861686071848,1.069510876610425,1.069510876610425,-9.81,1.519300292923532,2,1,0
1.578,0.06558910212026788,1.010650876610425,1.010650876610425,-9.81,1.519300292923532,2,1,0
1.584,0.07147642737982925,0.9517908766104246,0.9517908766104246,-9.81,1.519300292923532,2,1,0
1.59,0.0770105926394026,0.8929308766104245,0.8929308766104245,-9.81,1.519300292923532,2,1,0
1.596,0.08219159789898793,0.8340708766104243,0.8340708766104243,-9.81,1.519300292923532,2,1,0
1.602,0.08701944315858523,0.7752108766104244,0.7752108766104244,-9.81,1.519300292923532,2,1,0
1.608,0.09149412841819453,0.7163508766104243,0.7163508766104243,-9.81,1.519300292923532,2,1,0
1.614,0.09561565367781578,0.6574908766104243,0.6574908766104243,-9.81,1.519300292923532,2,1,0
1.62,0.09938401893741851,0.5986308766104234,0.5986308766104234,-9.81,1.519300292923532,2,1,0
1.626,0.10279922419702,0.5397708766104254,0.5397708766104254,-9.81,1.519300292923532,2,1,0
1.632,0.105861269456625,0.4809108766104254,0.4809108766104254,-9.81,1.519300292923532,2,1,0
1.638,0.1085701547162333,0.4220508766104254,0.4220508766104254,-9.81,1.519300292923532,2,1,0
1.644,0.110925879975845,0.3631908766104253,0.3631908766104253,-9.81,1.519300292923532,2,1,0
1.65,0.11292844523546,0.3043308766104252,0.3043308766104252,-9.81,1.519300292923532,2,1,0
